calming_1_back_start,calming_3_back_start,calming_1_back_end,calming_3_back_end,vexing_1_back_start,vexing_3_back_start,vexing_1_back_end,vexing_3_back_end
1475.478,1415.102,1476.011,1415.6195,2598.699,2537.657,2599.216,2538.1895
1477.5485,1417.236,1478.094,1417.7535,2600.7495,2539.773,2601.2825,2540.306
1479.644,1419.3515,1480.178,1419.869,2602.8155,2541.9405,2603.348,2542.4735
1481.7115,1421.3845,1482.244,1421.918,2604.8825,2544.0055,2605.4155,2544.5385
1483.778,1423.451,1484.3265,1423.9675,2607.0145,2546.089,2607.5315,2546.6395
1485.876,1425.551,1486.427,1426.0685,2609.065,2548.1555,2609.581,2548.6885
1487.96,1427.584,1488.493,1428.1015,2611.18,2550.2225,2611.714,2550.7715
1490.0255,1429.6175,1490.5605,1430.1335,2613.3135,2552.3215,2613.73,2552.856
1492.092,1431.651,1492.6255,1432.167,2615.33,2554.3875,2615.7965,2554.9225
1494.175,1433.6835,1494.709,1434.2175,2617.415,2556.4555,2617.9295,2557.0035
1496.2585,1435.7325,1496.8085,1436.249,2619.446,2558.6205,2619.9795,2559.1545
1498.359,1437.7655,1498.8925,1438.282,2621.4965,2560.754,2622.0125,2561.2875
1500.4245,1439.7985,1500.959,1440.3155,2623.5465,2562.821,2624.063,2563.3535
1502.4915,1441.833,1503.042,1442.3655,2625.5955,2564.903,2626.129,2565.4375
1504.592,1443.8825,1505.125,1444.3995,2627.6455,2566.969,2628.178,2567.503
1506.674,1445.915,1507.2245,1446.432,2629.7615,2569.0365,2630.2775,2569.5705
1508.7575,1447.931,1509.291,1448.464,2631.8115,2571.102,2632.344,2571.6355
1510.823,1449.998,1511.356,1450.5145,2633.877,2573.169,2634.4105,2573.702
1512.89,1452.048,1513.4405,1452.598,2635.928,2575.2355,2636.461,2575.668
1515.0895,1454.148,1515.624,1454.698,2637.977,2577.319,2638.4935,2577.869
1517.156,1456.23,1517.623,1456.764,2640.0265,2579.418,2640.56,2579.952
1594.2125,1534.1865,1594.763,1534.703,2717.183,2657.124,2717.7165,2657.642
1596.397,1536.236,1596.93,1536.7525,2719.301,2659.2245,2719.8165,2659.7405
1598.462,1538.286,1598.9965,1538.8025,2721.333,2661.3245,2721.85,2661.857
1600.5285,1540.3355,1601.0625,1540.852,2723.383,2663.458,2723.916,2663.974
1602.596,1542.3685,1603.129,1542.885,2725.433,2665.5075,2725.949,2666.023
1604.662,1544.469,1605.194,1544.9855,2727.482,2667.557,2727.999,2668.074
1606.7115,1546.5185,1607.2285,1547.053,2729.532,2669.589,2730.065,2670.1235
1608.7615,1548.652,1609.2945,1548.852,2731.5825,2671.6555,2732.031,2672.1885
1610.811,1550.3855,1611.3275,1550.9025,2733.615,2673.706,2733.998,2674.222
1612.844,1552.435,1613.3765,1552.969,2735.581,2675.7885,2736.1,2676.305
1615.0275,1554.485,1615.5605,1555.0005,2737.6135,2677.8225,2738.1305,2678.355
1617.094,1556.5175,1617.6275,1557.051,2739.731,2679.888,2740.248,2680.405
1619.16,1558.5665,1619.676,1559.1,2741.7805,2681.9375,2742.297,2682.4555
1621.194,1560.6345,1621.726,1561.15,2743.914,2683.972,2744.363,2684.4875
1623.2595,1562.684,1623.7915,1563.218,2745.93,2686.005,2746.446,2686.5215
1625.326,1564.7495,1625.8415,1565.284,2747.9625,2688.0365,2748.4955,2688.5705
1627.358,1566.816,1627.8415,1567.367,2750.029,2690.0875,2750.5625,2690.603
1629.474,1568.9325,1630.009,1569.45,2752.1455,2692.1195,2752.679,2692.636
1631.542,1570.9825,1632.075,1571.4985,2754.212,2694.1355,2754.7455,2694.6355
1633.5905,1573.0155,1634.108,1573.551,2756.278,2696.1355,2756.8115,2696.6355
1635.6405,1575.083,1636.1745,1575.533,2758.3445,2698.135,2758.8775,2698.635
1637.6905,1577.1485,1638.2235,1577.665,2760.4615,2700.135,2760.994,2700.635
