-26,-70,13
40,-62,8
-2,-98,15
-8,-93,1
-47,-112,5
-59,-99,28
-70,-66,27
-66,-40,49
-68,-35,42
-37,-36,44
-28,-16,47
-14,54,53
-9,76,52
-11,73,43
5,73,31
21,59,29
20,31,31
13,24,32
1,18,32
16,-8,22
18,-11,20
19,-15,26
9,-8,33
-8,4,40
-6,10,42
-11,16,49
-25,27,69
-52,2,80
-78,10,79
-68,4,73
-63,4,68
-43,5,56
-42,8,46
-48,13,48
-24,11,55
-28,21,62
-16,6,76
0,7,71
-1,8,70
6,6,73
12,7,72
10,0,67
6,0,70
7,-16,67
4,-7,62
0,-7,60
0,-14,60
-3,-16,61
-17,-16,57
-15,-18,54
-15,-19,55
-12,-14,58
-12,-16,59
-2,-19,61
4,-13,66
4,-20,64
10,-20,69
-6,-20,69
-5,-21,65
-4,-9,59
3,-11,59
3,-1,57
3,-2,57
8,-7,57
9,-25,56
19,-17,59
20,-10,54
23,-12,55
29,-11,56
29,-6,51
33,-9,54
34,-6,58
34,-5,58
30,-5,55
28,-3,58
24,-1,59
24,0,59
24,0,59
24,-1,57
24,-1,58
25,-3,57
23,-6,57
22,-5,57
24,0,60
21,1,59
20,2,60
26,1,61
28,-1,61
27,1,60
26,2,60
25,2,59
24,1,60
23,0,63
25,-2,59
22,-3,66
18,-5,63
17,-15,66
16,-20,62
16,-27,47
16,-36,39
22,-58,20
20,-50,0
24,-55,-14
16,-59,-23
14,-53,-31
14,-57,-34
14,-37,-44
9,-35,-46
9,-33,-57
6,-16,-66
5,-29,-56
2,-17,-64
1,-16,-58
4,-16,-61
3,-14,-61
2,-15,-59
2,-14,-61
0,-13,-62
1,-17,-60
3,-22,-61
10,-39,-70
13,-27,-70
6,-32,-57
-4,-65,-31
1,-64,-23
8,-18,2
3,-11,26
-25,16,59
-18,58,69
-7,50,64
-20,45,61
-18,43,61
-6,30,65
-3,24,65
-3,30,64
-1,29,57
1,20,60
2,19,59
4,8,56
8,14,61
15,11,64
16,4,63
25,-2,63
28,-1,62
28,0,57
25,1,57
22,2,58
18,5,59
15,7,60
13,5,62
13,3,64
13,2,62
12,-4,59
6,-7,53
10,-8,62
21,2,72
11,6,62
-16,24,54
-23,29,51
-28,38,50
-33,51,53
-40,46,57
-48,35,45
-45,26,48
-39,17,42
-36,12,40
-34,12,43
-42,9,48
-35,13,49
-39,17,55
-32,16,61
-31,7,61
-30,13,58
-27,19,56
-25,19,61
