participant,trial,condition,mean_eda,mean_ohb,accuracy,mean_rt
3F,19,Vexing 1-back,5.833468370548909654e+00,-3.453405076918428544e-04,7.727272727272727071e-01,4.388636363636363740e+02
3F,20,Vexing 3-back,5.786157971645673470e+00,-3.621304257300911718e-05,8.181818181818182323e-01,5.160909090909091219e+02
3F,21,Vexing 1-back,5.624303824554163889e+00,9.160250918772038420e-05,8.181818181818182323e-01,3.527272727272727479e+02
3F,22,Vexing 3-back,5.910422013154325249e+00,4.608565823858859294e-04,7.727272727272727071e-01,4.419545454545454390e+02
3F,23,Vexing 1-back,5.992881563696750291e+00,2.160284191891916192e-06,9.090909090909090606e-01,2.145000000000000000e+02
3F,24,Vexing 3-back,6.046783244155932380e+00,-2.594435954909091223e-04,7.727272727272727071e-01,3.402727272727272521e+02
3F,25,Vexing 1-back,6.073109030224794758e+00,-1.607699293182098747e-04,9.090909090909090606e-01,2.210000000000000000e+02
3F,26,Vexing 3-back,5.706893050789293653e+00,-7.518585984954405681e-05,6.818181818181817677e-01,3.905454545454545610e+02
3F,27,Vexing 3-back,5.564888088981515324e+00,-2.779956521984985060e-04,7.272727272727272929e-01,3.311818181818181870e+02
3F,28,Vexing 1-back,5.725863608039168717e+00,1.116329276196969888e-04,9.090909090909090606e-01,1.843181818181818130e+02
3F,29,Vexing 3-back,6.033287014499371992e+00,-4.228486572142425284e-04,7.727272727272727071e-01,2.429090909090909065e+02
3F,30,Vexing 1-back,5.702489858945303247e+00,-4.047868927275450148e-04,8.636363636363636465e-01,1.829545454545454675e+02
3F,31,Vexing 3-back,5.891602446826612827e+00,1.889442139937350031e-04,0.000000000000000000e+00,5.859090909090908781e+02
3F,32,Vexing 1-back,6.081684234336895756e+00,-3.649045448193939602e-04,9.090909090909090606e-01,2.798636363636363740e+02
4F,1,Calming 1-back,2.849254494232218438e+00,-7.419083403320002649e-05,8.636363636363636465e-01,2.659545454545454390e+02
4F,2,Calming 3-back,2.694932575153269116e+00,5.984146122963744847e-05,5.454545454545454142e-01,5.821818181818181301e+02
4F,3,Calming 3-back,2.611637095482217230e+00,-1.619944534151515899e-05,6.363636363636363535e-01,3.175909090909090651e+02
4F,4,Calming 1-back,2.504941063486577413e+00,-2.694505971501531545e-05,9.090909090909090606e-01,3.570454545454545610e+02
4F,5,Calming 3-back,2.392014564521164122e+00,-9.152472594157668091e-05,4.545454545454545303e-01,4.606818181818181870e+02
4F,6,Calming 1-back,2.296534387976168379e+00,-5.756621257215570987e-05,5.909090909090909394e-01,2.511818181818181870e+02
4F,7,Calming 1-back,2.194531079892638292e+00,5.598234700121210031e-05,9.545454545454545858e-01,2.791818181818181870e+02
4F,8,Calming 3-back,2.113826318023795725e+00,-1.344485221551828824e-05,6.818181818181817677e-01,3.329090909090909349e+02
4F,9,Calming 3-back,2.018819338332092705e+00,-3.816359848918181807e-05,6.363636363636363535e-01,4.458636363636363740e+02
4F,10,Calming 1-back,1.933958829224950549e+00,-2.535104122885800635e-05,9.090909090909090606e-01,2.569545454545454390e+02
4F,11,Calming 1-back,1.887706501857510322e+00,-1.670235813493975798e-05,9.090909090909090606e-01,2.380000000000000000e+02
4F,12,Calming 3-back,1.842844471563173547e+00,9.912772850602410263e-05,6.363636363636363535e-01,3.696363636363636260e+02
4F,13,Calming 3-back,2.109814098221359568e+00,1.161114793214024340e-04,6.363636363636363535e-01,2.949090909090909349e+02
4F,14,Calming 1-back,2.050545648537508203e+00,-1.457120304104938017e-05,7.727272727272727071e-01,3.159545454545454390e+02
4F,15,Calming 3-back,2.092349150838641147e+00,-6.644158728452012413e-05,4.090909090909091161e-01,3.971363636363636260e+02
4F,16,Calming 1-back,2.079681742143206780e+00,-1.097921253986067902e-04,9.090909090909090606e-01,2.991363636363636260e+02
4F,17,Vexing 1-back,2.593336669232135350e+00,-4.830982539852664818e-05,9.090909090909090606e-01,3.257727272727272521e+02
4F,18,Vexing 3-back,2.776312666528133910e+00,-1.290881602298159280e-04,5.454545454545454142e-01,3.602727272727272521e+02
4F,19,Vexing 1-back,3.052710638770381735e+00,2.740560997916408861e-04,8.181818181818182323e-01,2.807727272727272521e+02
4F,20,Vexing 3-back,2.960381169146744984e+00,1.467702965123384785e-04,6.818181818181817677e-01,1.854090909090909065e+02
4F,21,Vexing 1-back,2.912406246981351643e+00,-3.696892406968750057e-04,7.727272727272727071e-01,2.788181818181818130e+02
4F,22,Vexing 3-back,3.082935752341427804e+00,-7.537661941632048618e-05,6.818181818181817677e-01,2.718636363636363740e+02
